player_1_seq,player_2_seq,player_1_wins_cards,ties_cards,player_1_wins_tricks,ties_tricks
"[1, 1, 1]","[1, 1, 1]",,,,
"[1, 1, 1]","[1, 1, 0]",471609,19368,409605,157238
"[1, 1, 1]","[1, 0, 1]",280918,15756,221051,128165
"[1, 1, 1]","[1, 0, 0]",187149,19664,132141,128411
"[1, 1, 1]","[0, 1, 1]",28,9,1491,5316
"[1, 1, 1]","[0, 1, 0]",258906,20872,185684,145409
"[1, 1, 1]","[0, 0, 1]",14387,3386,13790,34256
"[1, 1, 1]","[0, 0, 0]",484847,27070,352890,316494
"[1, 1, 0]","[1, 1, 1]",505169,19490,442938,157340
"[1, 1, 0]","[1, 1, 0]",,,,
"[1, 1, 0]","[1, 0, 1]",850591,13384,791517,88732
"[1, 1, 0]","[1, 0, 0]",936012,10237,863842,75382
"[1, 1, 0]","[0, 1, 1]",3783,863,31690,43817
"[1, 1, 0]","[0, 1, 0]",890033,15799,774575,103038
"[1, 1, 0]","[0, 0, 1]",474521,37915,418538,179768
"[1, 1, 0]","[0, 0, 0]",979663,4057,953638,34457
"[1, 0, 1]","[1, 1, 1]",699710,16055,658727,128081
"[1, 0, 1]","[1, 1, 0]",131708,12863,126078,88542
"[1, 0, 1]","[1, 0, 1]",,,,
"[1, 0, 1]","[1, 0, 0]",481058,26752,435101,141172
"[1, 0, 1]","[0, 1, 1]",423814,20804,426808,139191
"[1, 0, 1]","[0, 1, 0]",486540,22733,411426,188814
"[1, 0, 1]","[0, 0, 1]",91147,14249,130483,102907
"[1, 0, 1]","[0, 0, 0]",713984,20993,679476,144672
"[1, 0, 0]","[1, 1, 1]",786157,20132,748988,128124
"[1, 0, 0]","[1, 1, 0]",51258,9312,66242,75484
"[1, 0, 0]","[1, 0, 1]",482618,26967,436313,141309
"[1, 0, 0]","[1, 0, 0]",,,,
"[1, 0, 0]","[0, 1, 1]",482158,26651,435885,141532
"[1, 0, 0]","[0, 1, 0]",549528,20888,443965,138979
"[1, 0, 0]","[0, 0, 1]",995895,864,926685,44090
"[1, 0, 0]","[0, 0, 0]",999959,11,993388,5161
"[0, 1, 1]","[1, 1, 1]",999962,8,993392,5196
"[0, 1, 1]","[1, 1, 0]",995969,847,927343,43980
"[0, 1, 1]","[1, 0, 1]",550510,21348,445483,139290
"[0, 1, 1]","[1, 0, 0]",482174,27034,435642,141486
"[0, 1, 1]","[0, 1, 1]",,,,
"[0, 1, 1]","[0, 1, 0]",482157,26864,435591,141925
"[0, 1, 1]","[0, 0, 1]",50988,9335,66163,74846
"[0, 1, 1]","[0, 0, 0]",785713,20407,749287,127627
"[0, 1, 0]","[1, 1, 1]",713997,21130,679784,144729
"[0, 1, 0]","[1, 1, 0]",91678,14487,131136,102867
"[0, 1, 0]","[1, 0, 1]",486363,22635,412300,188346
"[0, 1, 0]","[1, 0, 0]",424369,20768,427201,138891
"[0, 1, 0]","[0, 1, 1]",481288,27011,435612,141546
"[0, 1, 0]","[0, 1, 0]",,,,
"[0, 1, 0]","[0, 0, 1]",132043,13008,126262,88834
"[0, 1, 0]","[0, 0, 0]",699925,16055,659566,127773
"[0, 0, 1]","[1, 1, 1]",979640,3905,953782,34405
"[0, 0, 1]","[1, 1, 0]",474087,38057,418756,179414
"[0, 0, 1]","[1, 0, 1]",890275,15781,775243,103192
"[0, 0, 1]","[1, 0, 0]",3903,852,31383,43935
"[0, 0, 1]","[0, 1, 1]",936139,10383,864152,75313
"[0, 0, 1]","[0, 1, 0]",850589,13307,791050,89369
"[0, 0, 1]","[0, 0, 1]",,,,
"[0, 0, 1]","[0, 0, 0]",505727,19229,443234,157512
"[0, 0, 0]","[1, 1, 1]",484870,27280,352626,315872
"[0, 0, 0]","[1, 1, 0]",14447,3436,13882,34171
"[0, 0, 0]","[1, 0, 1]",259542,20695,186148,145005
"[0, 0, 0]","[1, 0, 0]",29,12,1475,5229
"[0, 0, 0]","[0, 1, 1]",188168,19457,132721,127775
"[0, 0, 0]","[0, 1, 0]",280030,15937,220490,127421
"[0, 0, 0]","[0, 0, 1]",471141,19372,409484,157166
"[0, 0, 0]","[0, 0, 0]",,,,
